Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC.,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,S&P 500
10/1/14,31.95024006,14.99182631,59.97783039,51.94871249,194.35
10/2/14,31.93610976,14.99407161,59.97862619,51.95761875,194.38
10/3/14,31.96970694,14.99959647,60.00226392,52.02248371,196.52
10/6/14,32.04821518,14.9994708,60.0062441,52.03638729,196.29
10/7/14,31.96421642,14.99471977,59.99373505,52.00586448,193.26
10/8/14,31.97669396,15.00025954,60.00824916,52.04966209,196.64
10/9/14,31.86398521,14.98873029,59.98625285,52.00202841,192.74
10/10/14,31.88830328,14.98511317,59.96751602,51.94757417,190.54
10/13/14,31.78440961,14.98005635,59.94523082,51.88873577,187.41
10/14/14,31.8903595,14.98038838,59.93449472,51.86015333,187.7
10/15/14,31.91112176,14.97303879,59.93436874,51.85144164,186.43
10/16/14,31.8920965,14.98217315,59.92177862,51.81285509,186.27
10/17/14,31.8813262,14.98605358,59.94098439,51.87580127,188.47
10/20/14,31.95516026,14.98993525,59.9700842,51.95186205,190.3
10/21/14,32.13905998,14.99657841,60.0018306,52.02685217,194.07
10/22/14,32.04942808,14.99019546,59.99170061,52.00234905,192.69
10/23/14,32.1242987,14.99299298,60.02437263,52.08404487,194.93
10/24/14,32.1376536,14.99370524,60.03403571,52.11268995,196.43
10/27/14,32.08477739,14.99022525,60.02288639,52.09004807,196.16
10/28/14,32.12395977,14.9847899,60.03457445,52.10693041,198.41
10/29/14,32.12369388,14.98288559,60.01661145,52.04841524,198.11
10/30/14,32.13925407,14.97738265,60.01946418,52.05980979,199.38
10/31/14,32.22677964,14.98065049,60.04354492,52.12451949,201.66
11/3/14,32.31595529,14.97687725,60.05985151,52.17651973,201.77
11/4/14,32.07606743,14.97485288,60.03526011,52.12603289,201.07
11/5/14,31.99541761,14.96895384,60.04174496,52.13894929,202.34
11/6/14,31.99481484,14.97356537,60.03247502,52.12740298,203.15
11/7/14,31.93436756,14.97136361,60.02229686,52.09181162,203.34
11/10/14,31.89091843,14.96990963,59.96306536,51.93446938,203.98
11/11/14,31.8797355,14.97260325,59.96780226,51.93609441,204.175
11/12/14,31.8797355,14.97260325,59.96780226,51.93609441,203.96
11/13/14,31.8797355,14.97260325,59.96780226,51.93609441,204.19
11/14/14,31.89527292,14.96446401,59.96337172,51.92650581,204.24
11/17/14,31.88570488,14.97677682,59.99533681,51.97505552,204.37
11/18/14,31.84872194,14.98002924,59.99128748,51.97223696,205.55
11/19/14,31.82616094,14.97707716,60.02265298,52.02523069,205.22
11/20/14,31.85200813,14.98184134,60.0259973,52.02588172,205.58
11/21/14,31.87007357,14.98544702,60.04358261,52.05004784,206.68
11/24/14,31.90994341,14.99300914,60.08112414,52.10871178,207.26
11/25/14,31.90942943,14.99327382,60.114516,52.16238884,207.11
11/26/14,31.90777413,14.99193075,60.11382417,52.1632222,207.64
11/28/14,31.89003589,14.99175566,60.12044101,52.18614704,207.2
12/1/14,31.79903794,14.98152802,60.1051673,52.1694334,205.76
12/2/14,31.85013416,14.98698027,60.10531849,52.17638308,207.085
12/3/14,31.85902626,14.99490877,60.09270345,52.1594528,207.89
12/4/14,31.84185267,15.00149013,60.07996718,52.14094785,207.66
12/5/14,31.82360661,15.00616178,60.08826181,52.15692647,208
12/8/14,31.77534117,15.00448368,60.0714216,52.14305984,206.61
12/9/14,31.81287938,15.0052996,60.07126708,52.13415681,206.47
12/10/14,31.74734901,14.99619051,60.0581207,52.11143917,203.16
12/11/14,31.76229412,15.00136516,60.05838962,52.10917835,204.19
12/12/14,31.74123648,14.99900994,60.04588945,52.09122118,200.89
12/15/14,31.71648914,15.00079802,60.02820775,52.06284691,199.51
12/16/14,31.72940555,14.99782361,60.02962777,52.0562969,197.91
12/17/14,31.78435151,15.00193316,60.0471583,52.08053325,201.79
12/18/14,31.79876711,15.00891669,60.04666507,52.08190218,206.78
12/19/14,31.81763076,15.01143036,60.07709662,52.11531469,206.52
12/22/14,31.78972812,15.01139156,60.08270036,52.12050169,207.47
12/23/14,31.75824126,15.00803122,60.11047961,52.1601589,207.75
12/24/14,31.76426821,15.00807376,60.1056084,52.15608443,207.77
12/26/14,31.76896981,15.00779504,60.11174958,52.16616333,208.44
12/29/14,31.77169281,15.00687188,60.1199772,52.18040654,208.72
12/30/14,31.75970272,15.00537695,60.1135448,52.17589062,207.6
12/31/14,31.72977897,14.99982912,60.09047872,52.14420382,205.54
1/2/15,31.72754348,15.00179945,60.09005697,52.14150005,205.43
1/5/15,31.64570617,14.99014127,60.03013817,52.05743434,201.72
1/6/15,31.64194015,14.99234539,59.98999176,51.99581946,199.82
1/7/15,31.63838599,14.99639215,59.99271978,52.00330075,202.31
1/8/15,31.70369952,15.00765301,60.05016456,52.09521172,205.9
1/9/15,31.6673961,15.00428512,60.04172718,52.08089344,204.25
1/12/15,31.63386705,14.99290093,60.05421076,52.10715438,202.65
1/13/15,31.60850083,14.99166934,60.05848693,52.11433367,202.08
1/14/15,31.58409434,14.98334339,60.00247698,52.02518155,200.86
1/15/15,31.52903144,14.97783486,60.02478399,52.05934775,199.02
1/16/15,31.54366268,14.97756579,60.03579552,52.06822292,201.63
1/20/15,31.57173748,14.97294982,59.98575663,51.99527536,202.055
1/21/15,31.62669973,14.98294806,59.98275381,51.98980078,203.08
1/22/15,31.65083827,14.9886125,60.01209102,52.03920557,206.1
1/23/15,31.62583639,14.98016082,60.01077938,52.03797537,204.97
1/26/15,31.64769565,15.00007007,60.00324018,52.02712397,205.45
1/27/15,31.63361138,14.99651368,59.99002699,52.00129802,202.74
1/28/15,31.55962724,14.98759582,59.93565352,51.91405979,200.14
1/29/15,31.44146741,14.98014874,59.95623752,51.93731235,201.99
1/30/15,31.41767744,14.97346233,59.94887636,51.92200017,199.45
2/2/15,31.45926796,14.97224193,59.98632911,51.96625643,201.92
2/3/15,31.48974305,14.97163833,60.02311268,52.02636748,204.84
2/4/15,31.47656569,14.96688912,60.06713662,52.10380692,204.06
2/5/15,31.43989756,14.96250009,60.16725881,52.26353444,206.12
2/6/15,31.41700927,14.95696217,60.15697977,52.25200074,205.55
2/9/15,31.44866122,14.95425296,60.14824037,52.23422701,204.63
2/10/15,31.46487763,14.96370289,60.17914643,52.2855583,206.81
2/11/15,31.46487763,14.96370289,60.17914643,52.2855583,206.93
2/12/15,31.46487763,14.96370289,60.17914643,52.2855583,208.92
2/13/15,31.46487763,14.96370289,60.17914643,52.2855583,209.78
2/17/15,31.45289561,14.96279663,60.16439036,52.16373824,210.11
2/18/15,31.4311313,14.96103577,60.13624981,52.13267303,210.13
2/19/15,31.44477177,14.96422854,60.13808157,52.139454,209.98
2/20/15,31.47232829,14.96458613,60.14821535,52.15849309,211.24
2/23/15,31.42225321,14.96709515,60.14323665,52.09545123,211.21
2/24/15,31.39003166,14.9632794,60.16485605,52.08542349,211.81
2/25/15,31.43484079,14.96928847,60.21220105,52.22468801,211.63
2/26/15,31.42969467,14.97348861,60.20807113,52.18004855,211.38
2/27/15,31.3680999,14.96960322,60.19070558,52.15066985,210.66
3/2/15,31.33899838,14.96919594,60.2523094,52.17673046,211.99
3/3/15,31.30290733,14.95826297,60.26368467,52.06541773,211.12
3/4/15,31.39056606,14.98657431,60.25585607,52.24816193,210.23
3/5/15,31.42095955,14.97901919,60.24037896,52.26088852,210.46
3/6/15,31.39477272,14.97488471,60.23416896,52.16147963,207.5
3/9/15,31.37624465,14.965583,60.24214463,52.08103387,208.36
3/10/15,31.37423643,14.95991847,60.21544164,52.06800062,204.98
3/11/15,31.34855063,14.96482537,60.22795928,52.03741058,204.5
3/12/15,31.36980734,14.96769725,60.34332583,52.16818912,207.1
3/13/15,31.38998684,14.96473545,60.31085789,52.14430926,205.825
3/16/15,31.42972016,14.97581967,60.31194436,52.26143817,208.58
3/17/15,31.44658806,14.97703326,60.27891329,52.25570519,207.96
3/18/15,31.52165084,14.9856699,60.28571362,52.26904673,210.46
3/19/15,31.5347791,14.98995373,60.27166565,52.31205867,209.5
3/20/15,31.58762738,14.99143558,60.28152385,52.29428397,210.41
3/23/15,31.59457175,14.99632439,60.2798239,52.25064441,210
3/24/15,31.5275629,14.99008158,60.26748892,52.20488773,208.82
3/25/15,31.51995351,14.98668248,60.21971226,52.15111064,205.76
3/26/15,31.52722856,14.98959402,60.20571881,52.15767144,205.27
3/27/15,31.56577346,14.99038394,60.1879189,52.15902582,205.74
3/30/15,31.55453577,14.98929941,60.23033315,52.17299964,208.25
3/31/15,31.53293622,14.98373734,60.33276829,52.25087293,206.43
4/1/15,31.51184721,14.98007336,60.30776263,52.17315896,205.7
4/2/15,31.52140367,14.98077201,60.29783838,52.15521226,206.435
4/6/15,31.51730595,14.98367524,60.3351246,52.1779971,207.83
4/7/15,31.5468335,14.98357541,60.30643174,52.15987923,207.28
4/8/15,31.61596606,14.99541413,60.31672041,52.33278156,207.975
4/9/15,31.65758793,15.00176606,60.31414998,52.36173798,208.9
4/10/15,31.62236206,14.99999839,60.32077325,52.29600664,210.04
4/13/15,31.59950865,14.9958215,60.29117664,52.25265204,209.09
4/14/15,31.61695621,14.9971371,60.31215233,52.30512686,209.49
